Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_returns,middle_band,upper_band,lower_band,conversion,base,spanA,spanB,lagging
2018-06-27 00:00:00+05:30,10785.5,10785.5,10652.400390625,10671.400390625,246000,0.0,0.0,,,,,,,,,,11244.7001953125
2018-06-28 00:00:00+05:30,10660.7998046875,10674.2001953125,10557.7001953125,10589.099609375,352300,0.0,0.0,-0.007712275637441368,0.9922877243625586,,,,,,,,11360.7998046875
2018-06-29 00:00:00+05:30,10612.849609375,10723.0498046875,10612.349609375,10714.2998046875,242800,0.0,0.0,0.011823497741172861,1.004020036030153,,,,,,,,11387.099609375
2018-07-02 00:00:00+05:30,10732.349609375,10736.150390625,10604.650390625,10657.2998046875,295400,0.0,0.0,-0.005319993003655044,0.9986786564629431,,,,,,,,11389.4501953125
2018-07-03 00:00:00+05:30,10668.599609375,10713.2998046875,10630.25,10699.900390625,202100,0.0,0.0,0.003997315147197256,1.002670689783605,,,,,,,,11450.0
2018-07-04 00:00:00+05:30,10715.0,10777.150390625,10677.75,10769.900390625,173900,0.0,0.0,0.006542116977213297,1.0092302787257925,,,,,,,,11470.7001953125
2018-07-05 00:00:00+05:30,10786.0498046875,10786.0498046875,10726.25,10749.75,220500,0.0,0.0,-0.0018709913642785958,1.007342017589728,,,,,,,,11429.5
2018-07-06 00:00:00+05:30,10744.150390625,10816.349609375,10735.0498046875,10772.650390625,0,0.0,0.0,0.0021303184376380013,1.009487976862807,,,,,,,,11355.75
2018-07-09 00:00:00+05:30,10838.2998046875,10860.349609375,10807.150390625,10852.900390625,183600,0.0,0.0,0.007449420253147654,1.0170080770429577,,,,10709.02490234375,,,,11435.099609375
2018-07-10 00:00:00+05:30,10902.75,10956.900390625,10876.650390625,10947.25,197000,0.0,0.0,0.008693492612951825,1.025849429248043,,,,10757.30029296875,,,,11385.0498046875
2018-07-11 00:00:00+05:30,10956.400390625,10976.650390625,10923.0,10948.2998046875,222300,0.0,0.0,9.589665783638068e-05,1.0259478047797512,,,,10790.650390625,,,,11470.75
2018-07-12 00:00:00+05:30,11006.9501953125,11078.2998046875,10999.650390625,11023.2001953125,248300,0.0,0.0,0.006841280560560881,1.032966601552741,,,,10841.47509765625,,,,11551.75
2018-07-13 00:00:00+05:30,11056.900390625,11071.349609375,10999.75,11018.900390625,0,0.0,0.0,-0.0003900686380828855,1.0325636736772883,,,,10854.27490234375,,,,11570.900390625
2018-07-16 00:00:00+05:30,11018.9501953125,11019.5,10926.25,10936.849609375,210500,0.0,0.0,-0.0074463674542162295,1.0248748251432118,,,,10878.02490234375,,,,11582.75
2018-07-17 00:00:00+05:30,10939.650390625,11018.5,10925.599609375,11008.0498046875,210600,0.0,0.0,0.006510119262449043,1.0315468824839757,,,,10902.27490234375,,,,11557.099609375
2018-07-18 00:00:00+05:30,11060.2001953125,11076.2001953125,10956.2998046875,10980.4501953125,225500,0.0,0.0,-0.002507220612614547,1.0289605668773336,,,,10906.6748046875,,,,11691.9501953125
2018-07-19 00:00:00+05:30,10999.5,11006.5,10935.4501953125,10957.099609375,215400,0.0,0.0,-0.0021265599790679657,1.026772420515773,,,,10942.72509765625,,,,11738.5
2018-07-20 00:00:00+05:30,10963.5,11030.25,10946.2001953125,11010.2001953125,187300,0.0,0.0,0.00484622644956767,1.0317483921777633,,,,10977.47509765625,,,,11691.900390625
2018-07-23 00:00:00+05:30,11019.849609375,11093.400390625,11010.9501953125,11084.75,229100,0.0,0.0,0.006770976309698584,1.0387343360987684,,,,11008.2001953125,,,,11676.7998046875
2018-07-24 00:00:00+05:30,11109.0,11143.400390625,11092.5,11134.2998046875,205800,0.0,0.0,0.00447008770495505,1.043377569683278,10876.3275390625,11190.086592778574,10562.568485346426,11034.5,,,,11680.5
2018-07-25 00:00:00+05:30,11148.400390625,11157.150390625,11113.25,11132.0,205900,0.0,0.0,-0.0002065513528324292,1.043162058634745,10899.35751953125,11217.20312373432,10581.51191532818,11041.375,,,,11582.349609375
2018-07-26 00:00:00+05:30,11132.9501953125,11185.849609375,11125.7001953125,11167.2998046875,365400,0.0,0.0,0.0031710209025781477,1.0464699473274521,10928.267529296874,11232.73283855142,10623.80222004233,11055.724609375,,,,11520.2998046875
2018-07-27 00:00:00+05:30,11232.75,11283.400390625,11210.25,11278.349609375,314600,0.0,0.0,0.009944194803553685,1.056876248339741,10956.47001953125,11280.51619833188,10632.423840730622,11104.5,,,,11476.9501953125
2018-07-30 00:00:00+05:30,11296.650390625,11328.099609375,11261.4501953125,11319.5498046875,278800,0.0,0.0,0.0036530340643325943,1.06073705327671,10989.58251953125,11319.930295461063,10659.234743601437,11131.77490234375,,,,11536.900390625
2018-07-31 00:00:00+05:30,11311.0498046875,11366.0,11267.75,11356.5,256500,0.0,0.0,0.0032642813495284972,1.0641995974564749,11022.4125,11361.565563412498,10683.259436587503,11150.72509765625,,,,11589.099609375
2018-08-01 00:00:00+05:30,11359.7998046875,11390.5498046875,11313.5498046875,11346.2001953125,269700,0.0,0.0,-0.0009069523785937283,1.0632344191002632,11051.227490234374,11397.597788495548,10704.8571919732,11168.375,10974.125,,,11438.099609375
2018-08-02 00:00:00+05:30,11328.900390625,11328.900390625,11234.9501953125,11244.7001953125,210000,0.0,0.0,-0.008945726168478219,1.0537230151340913,11075.975,11402.605322526633,10749.344677473367,11200.75,10974.125,,,11287.5
2018-08-03 00:00:00+05:30,11297.7998046875,11368.0,11294.5498046875,11360.7998046875,218300,0.0,0.0,0.010324829240302646,1.0646025253319276,11105.382470703125,11423.172257198637,10787.592684207613,11241.52490234375,10997.60009765625,,,11369.900390625
2018-08-06 00:00:00+05:30,11401.5,11427.650390625,11370.599609375,11387.099609375,203700,0.0,0.0,0.0023149606664707445,1.0670670383034964,11132.092431640625,11450.31104019823,10813.87382308302,11270.4501953125,11016.150390625,,,11515.2001953125
2018-08-07 00:00:00+05:30,11423.150390625,11428.9501953125,11359.7001953125,11389.4501953125,226400,0.0,0.0,0.00020642534254866618,1.0672873079824006,11154.20244140625,11479.425031664408,10828.979851148093,11277.3251953125,11029.60009765625,,,11377.75
