Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_returns,middle_band,upper_band,lower_band,conversion,base,spanA,spanB,lagging,label,group
2023-05-26 00:00:00+05:30,18368.349609375,18508.55078125,18333.150390625,18499.349609375,198700,0.0,0.0,0.009726420827874671,1.7335447019331216,18252.6650390625,18473.44578262817,18031.88429549683,18284.4755859375,18031.25,17489.26220703125,17481.5498046875,,1,26
2023-05-29 00:00:00+05:30,18619.150390625,18641.19921875,18581.25,18598.650390625,265300,0.0,0.0,0.005367798508963517,1.7428500205993798,18279.34755859375,18530.241273201853,18028.453843985644,18350.7998046875,18097.57421875,17514.2998046875,17481.5498046875,,1,26
2023-05-30 00:00:00+05:30,18606.650390625,18662.44921875,18575.5,18633.849609375,234400,0.0,0.0,0.0018925684396833287,1.7461484835434675,18303.65751953125,18590.817010251543,18016.49802881096,18361.4248046875,18137.474609375,17527.07470703125,17481.5498046875,,1,26
2023-05-31 00:00:00+05:30,18594.19921875,18603.900390625,18483.849609375,18534.400390625,696500,0.0,0.0,-0.0053370195013254795,1.736829255034586,18325.88505859375,18612.21503908091,18039.55507810659,18361.4248046875,18186.82421875,17527.07470703125,17481.5498046875,,1,26
2023-06-01 00:00:00+05:30,18579.400390625,18580.30078125,18464.55078125,18487.75,265600,0.0,0.0,-0.0025169624936233204,1.7324577209418364,18337.48251953125,18630.30544343932,18044.659595623183,18420.6494140625,18186.82421875,17527.07470703125,17481.5498046875,,1,26
2023-06-02 00:00:00+05:30,18550.849609375,18573.69921875,18478.400390625,18534.099609375,270900,0.0,0.0,0.002507044360454902,1.7368010693008502,18360.7375,18637.866185468316,18083.608814531683,18432.4248046875,18230.1748046875,17527.07470703125,17481.5498046875,,1,26
2023-06-05 00:00:00+05:30,18612.0,18640.150390625,18582.80078125,18593.849609375,256100,0.0,0.0,0.003223787573137793,1.7424001470050747,18377.2099609375,18668.438051076348,18085.981870798652,18432.4248046875,18273.875,17561.37451171875,17481.5498046875,,1,26
2023-06-06 00:00:00+05:30,18600.80078125,18622.75,18531.599609375,18599.0,220800,0.0,0.0,0.00027699431442118616,1.7428827819392418,18393.8625,18695.748904926924,18091.976095073074,18432.4248046875,18352.4248046875,17640.14990234375,17481.5498046875,,1,26
2023-06-07 00:00:00+05:30,18665.599609375,18738.94921875,18636.0,18726.400390625,260100,0.0,0.0,0.006849851638528914,1.7548212704188721,18414.4275390625,18746.88701387599,18081.968064249013,18536.0498046875,18390.6748046875,17707.0498046875,17504.2998046875,,1,26
2023-06-08 00:00:00+05:30,18725.349609375,18777.900390625,18615.599609375,18634.55078125,286500,0.0,0.0,-0.0049048192636628185,1.7462141892474363,18431.305078125,18772.459478223154,18090.150678026843,18621.2255859375,18416.6748046875,17707.0498046875,17504.2998046875,,1,26
